GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19000,Iowa,120449808,123298172,128962309,139978100,144577270,146555341,152861821,149881405,146182778,150148432,152435221,158538380,158480810,166619206,171126488,170389110,170887484,173547724,173721980,170957361,179752962
19001,"Adair, IA",247488,264065,265579,314001,274214,272822,255260,291462,276172,268311,300748,291755,316625,305226,318948,309389,316646,325827,339746,406617,430503
19003,"Adams, IA",142166,166790,141888,164314,143506,132032,124667,164384,187005,214945,241889,161946,190463,223317,234672,243442,236241,224682,226978,205119,207934
19005,"Allamakee, IA",483303,480699,511126,554712,550752,548717,551087,547258,507520,542473,556448,527458,561763,597993,610362,652919,617489,600563,605620,599636,573076
19007,"Appanoose, IA",311883,327167,349445,377024,373422,358217,333996,367480,366119,359445,376792,355931,363321,363485,378157,369349,381205,370814,369809,370658,395869
19009,"Audubon, IA",178695,191762,182767,232816,225332,239667,222995,322051,284593,271894,261522,224767,239714,237105,224761,238833,268815,275637,326791,304569,290891
19011,"Benton, IA",553554,592684,572029,611340,589001,596799,630264,656976,653516,680156,709239,696222,716398,714012,729873,724597,753820,789660,814445,862429,901547
19013,"Black Hawk, IA",5361350,5606185,5544477,6259728,6495073,6562418,6691609,6644358,6579892,7022940,6915472,8581517,7426603,8445349,7810199,6888962,6982579,7140398,7056978,7026356,7513102
19015,"Boone, IA",791547,839093,884088,919364,924518,911575,936096,925376,991807,980917,982382,957337,987354,972542,935137,930600,890873,932213,951690,975705,1006742
19017,"Bremer, IA",747402,767347,776058,921756,993967,958958,1019900,916590,853750,866462,922396,998773,970612,1028640,1051721,1024412,1008628,1023103,1023743,974423,1043942
19019,"Buchanan, IA",541760,550004,539403,598991,631529,632448,642442,617036,642631,634542,714442,690011,719766,716888,679032,738619,767505,753817,767120,754161,749966
19021,"Buena Vista, IA",835598,854371,877217,962556,967508,979645,1046044,1163971,1194512,1225214,1203403,1225006,1380687,1597651,1827741,1340661,1202009,1270990,1218112,1230413,1311448
19023,"Butler, IA",333096,353437,338211,424765,424410,428412,440544,425552,434464,487771,510762,490999,487331,460448,425805,380469,404770,392350,399983,404061,494350
